236.71,17052,624,-360,1171,-498,-498
236.71,17204,544,-1116,3296,1738,1738
236.62,18168,1264,-704,4665,-3449,-3449
236.96,17612,376,-592,4675,532,532
235.35,18632,-468,-2116,-745,198,198
236.03,17756,-1272,-4032,1076,181,181
236.71,18432,2448,-336,19703,-444,-444
236.45,15832,1928,1636,-817,1736,1736
236.28,17560,612,-484,-5725,561,561
236.71,16356,-264,252,2144,-1452,-1452
236.71,18120,-1612,-40,2475,573,573
236.37,17028,-2984,788,-1441,-1537,-1537
235.94,16376,-4380,-1540,-1316,-630,-630
235.86,17992,-3728,-2476,1741,1258,1258
237.05,18804,800,968,11047,1527,1527
236.11,16884,-624,-1436,7359,-308,-308
236.45,17124,328,-2596,1488,917,917
236.28,16428,2412,-1404,4447,-182,-182
235.94,18328,-2448,620,4561,743,743
236.28,17504,-3344,-788,-387,88,88
235.69,17168,-2964,-408,-645,82,82
235.86,17160,-3104,-468,-928,-222,-222
236.37,17084,-1796,56,-4400,-372,-372
236.45,18012,36,-588,-5702,509,509
236.11,17132,-2008,-632,-6342,155,155
236.45,17208,-3784,-1236,-915,-367,-367
236.11,17160,-3536,-2668,616,178,178
236.11,17332,-2236,-424,3891,1831,1831
236.20,17256,-1552,-872,-577,-320,-320
236.20,17672,-1480,-584,-3391,1414,1414
235.86,17204,-1360,-368,-2737,-146,-146
235.86,16996,-2652,132,-5621,1823,1823
235.52,17872,-1548,284,-2425,1026,1026
236.37,17068,-1136,1044,-3629,1207,1207
236.45,16892,-1024,1520,-6506,-1550,-1550
236.11,17780,-60,-696,-5085,2455,2455
236.28,17320,-1324,700,-1759,-1071,-1071
236.11,17352,-1016,-384,-482,-93,-93
236.03,17380,-1264,164,-862,-352,-352
236.45,17528,-628,-52,392,-424,-424
236.28,17092,-1772,296,-2411,-229,-229
236.28,17752,-420,-80,-3004,-71,-71
236.45,17356,-220,-1424,-526,-367,-367
236.45,17456,1116,-2284,8344,-2319,-2319
236.03,17520,1364,-1412,7168,-1188,-1188
236.11,17776,1564,-1716,9141,-196,-196
236.03,17080,-1284,-632,4061,2811,2811
235.94,17508,-1560,-288,-1345,1562,1562
236.20,17576,-3264,812,-1153,1325,1325
236.20,17092,-3640,-388,-2214,-136,-136
236.03,16912,-3772,-1072,-6621,6,6
236.71,17560,-2632,-1768,-3619,-267,-267
236.20,17444,-396,-1848,-1832,888,888
235.69,17552,-396,-1076,-1478,-257,-257
236.37,17408,-632,-2072,-294,1385,1385
236.62,18032,-24,-1540,372,393,393
236.37,17836,604,-1920,6248,-1864,-1864
236.62,16348,-292,104,7431,-349,-349
236.28,17832,-1944,-104,3501,466,466
235.52,16808,-1104,-1412,3847,2031,2031
236.45,17452,-1144,-768,2538,-846,-846
235.60,17588,-224,-1112,2451,-1948,-1948
236.20,18344,-1024,-700,-1563,-358,-358
236.28,17836,-772,-1448,-9150,2192,2192
236.45,17336,-420,252,-8106,576,576
235.94,17172,-988,1360,-7922,2714,2714
236.28,18072,-1560,816,-7591,2304,2304
236.28,17264,-2092,244,-10318,-435,-435
236.20,17724,-1360,160,-16288,-326,-326
235.86,17284,-2068,2876,-9813,1858,1858
236.45,18100,-1224,772,-5024,2522,2522
236.20,16252,-176,-484,-1966,-1586,-1586
236.79,16756,2436,-1192,1022,-2410,-2410
236.71,16292,164,-460,2006,-1195,-1195
236.20,17460,-2092,908,-1605,2161,2161
236.62,18144,-920,48,4441,-1406,-1406
